id,price,price_currency,manufacturer,beds,baths,lot_size,image_url
38ef8d4147884df9847eebddd397095f,895000,USD,Corcoran Group - SoHo,1,1,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
872a45afda3a498a8717a19e08d90459,1795000,USD,Corcoran Group - Union Square,1,2,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
79754b7d175049f38fe894a89c890331,1150000,USD,Corcoran Group - East Side,2,2,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
bcae7c50e8c041d192c021f92ae1b140,,,,,,,
c0d41128b51d45f09554632e9dd6a4d7,,,,,,,
d0159cb2f717403e97325780e934bb71,795000,USD,Corcoran Group - SoHo,1,1,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
7dbc490670f8499cbcf72d3ccf416582,3280000,USD,TMT Realty Group LLC,4,,6967,https://ap.rdcpix.com/1541384905/344fa4036946585e859e84efba555355l-m0xd-w480_h480_q80.jpg
05b1567a2f05441e81b0bb2ab245db51,799000,USD,Astor Brokerage Ltd,3,,1800,https://ap.rdcpix.com/2070873367/1c35552572c66ca80f7ed2493e309eeal-m0xd-w480_h480_q80.jpg
a5ec7dd4362f41bbbf30564dfd440a33,695000,USD,Corcoran Group - West Side,1,1,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
3949f9b4d0eb40288efedee8c58d1fd2,799000,USD,"F.G. VOLPE REALTY ""SERVICING STATEN ISLAND""",3,,2600,https://ap.rdcpix.com/398000033/517130865985b9c22edd01940d03932al-m0xd-w480_h480_q80.jpg
e91729a88f90419b8371524b514c0899,1225000,USD,NEUHAUS REALTY INC.,4,,5830,https://ap.rdcpix.com/299739144/e9ee7b13317a9bb6b7244acb6757a37al-m0xd-w480_h480_q80.jpg
2dd47f1740fb499687571d33f2888274,2280000,USD,EXIT REALTY PROFESSIONALS,,,1980,https://ap.rdcpix.com/242085242/dfb495dd4478a72e91cb704b815eaed4l-m0xd-w480_h480_q80.jpg
579ddaa41d1e40bd89cb22e262da5829,799000,USD,Century 21 American Homes,3,,2500,https://ap.rdcpix.com/590206542/fd8777849a471443c1d434ef6f6f28e4o-c0s.jpg
b48a28a8da0e49658c0d9ec2016cbd27,,,,,,,
d08c443fd1e04bed9e6a6c264225dc0d,,,,,,,
5705cf1d600641d687f8ef685f5b5e2f,425000,USD,New Market Real Estate Inc,2,2,3080,https://ap.rdcpix.com/1316918679/d4e2d64c2edb1bd66478795a018fee33l-m0xd-w480_h480_q80.jpg
b80fccd733fa4720b3b7f48bb7fd35ff,599900,USD,Master Associates Inc.,3,,2675,https://ap.rdcpix.com/1685368666/ab3bd2bfa7def992c8facc9512d28c24l-m0xd-w480_h480_q80.jpg
2d0defcaebc3451a91d855906f3ffcba,475000,USD,Douglas Elliman - Franklin Square,2,1,2125,https://ap.rdcpix.com/2092459869/02bb8f079fd237fd4fb7e83fd00292f5o-c0s.jpg
97c716ce4cf54312a5191fd7164392cf,1198000,USD,Fultonex Realty Llc,3,,3712,https://ap.rdcpix.com/1513138413/a88d42edae089baf2d84fc2f933c678el-m0xd-w480_h480_q80.jpg
15687376e2ec450992e2faf973474e9c,524999,USD,O & B Properties 1 Inc,3,2,2833,https://ap.rdcpix.com/1599138877/00ce5b04e0a12f72c41671387ca350d7l-m0xd-w480_h480_q80.jpg
e5d960ce7e9f48d287acacb113c703c1,599000,USD,Corcoran Group - East Side,0,1,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
032a6cb84bfa45c2ab76da1ce292a913,410000,USD,Corcoran Group - Fort Greene,1,1,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
f020d06bb6b64b7994966b8f921a9c74,465000,USD,Corcoran Group (Chelsea/Flatiron),1,1,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
ff42fc6a32174c24add45fd7cc12b5eb,310000,USD,Elite Synergy Realty Inc,3,2,2000,https://ap.rdcpix.com/1477652089/ba0795b960fed4c7bb36e41f054a1bf1l-m0xd-w480_h480_q80.jpg
c45250e3675b447ebcba9e9e90261e56,2750000,USD,Corcoran Group - West Side,2,2,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
41179316977e4cdb82ee2eb26e584e4b,699999,USD,Re/Max Legacy,4,2,2050,https://ap.rdcpix.com/2145086131/03283465885fe3fe7527a0fbc948e73cl-m0xd-w480_h480_q80.jpg
a3baabd59880444799de55dec15de133,,,,,,,
8cdde6ae4b9b4085a6129c48bbc6c1be,,,,,,,
514af1c0504341b1b9ea6afe14ff97b5,450000,USD,Corcoran Group - SoHo,0,1,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
aec383293b7445b0806290521c4aa40b,730000,USD,Corcoran Group (Chelsea/Flatiron),2,2,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
c1b6f7e4ba854cec9f43481c0a3a5d6f,2495000,USD,Corcoran Group - East Side,2,2,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
c2dc1863410541d9811865c734545155,649900,USD,Weichert Realtors Appleseed Group,6,2,3323,https://ap.rdcpix.com/1535230551/13e1795467273b9d518125d893f3e36bl-m0xd-w480_h480_q80.jpg
0e672609dc344ed791d49ba902fcd7b6,599000,USD,Charles Rutenberg Realty Inc,4,2,3000,https://ap.rdcpix.com/2132445659/8f68866cf409bb71f2a359988afa93c1l-m0xd-w480_h480_q80.jpg
660b14e89d5f4841803c53308f7e7425,1128000,USD,Keller Williams Rlty Landmark,3,,,https://ap.rdcpix.com/398555734/a3f4f2a003fb06769aef0d910e4e208cl-m0xd-w480_h480_q80.jpg
be8d132bcce248ac8e8d860f75351d35,949999,USD,SafariRealty,4,,,https://p.rdcpix.com/v02/o13a60000-c0s.gif
f2f7f34947724d73a4ae14b96f71bff3,3995000,USD,Corcoran Group - East Side,3,2,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
757de03ec3704ee8bb6e1effb5ed4dd3,689900,USD,Ditommaso Real Estate,3,,2500,https://ap.rdcpix.com/159881680/f1d2afb2834c5a74f656055055286b67l-m0xd-w480_h480_q80.jpg
c502e289895042b08632f8eab2c5e8f5,500000,USD,Keller Williams Rty Gold Coast,3,,1640,https://ap.rdcpix.com/1233170679/b15196bf8cfc5ba5188fde5c7b8bd395l-m0xd-w480_h480_q80.jpg
fc1995aaf9d3477e8bb71d5115208923,399000,USD,Corcoran Group - Park Slope,0,1,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
62d0168f5bae4668a6b590ae2d7cf220,,,,,,,
81a6451579b5447cb085fcd4333469ca,,,,,,,
5789ba044a0a4425913f6e6828183c8d,429000,USD,Century 21 Kafcos Realty,3,,1799,https://ap.rdcpix.com/1628877321/4d8045e82a521b9c0915918684ba12eal-m0xd-w480_h480_q80.jpg
0a6999df9ebc43ec8d8dc0dcb79f0269,499900,USD,Family Home Realty Llc,3,3,2000,https://ap.rdcpix.com/1301142881/7fa61d0ff2c44c7994a658193a56a276l-m0xd-w480_h480_q80.jpg
4de38a220c084f389d915392e43b1245,529000,USD,Keystone Realty USA Corp,3,,1260,https://ap.rdcpix.com/1058020021/e61cc371fd4d4cf8dc98590b65f81802l-m0xd-w480_h480_q80.jpg
8d0cf00b87524676968bb840bd233ac3,619000,USD,Hometime Estates Llc,3,,2379,https://ap.rdcpix.com/1797986312/dd6da1a3f283d90db1c7cd77da57ee17l-m0xd-w480_h480_q80.jpg
7e3cb6943a084bb0a81ba269416c02af,400000,USD,Keller Williams Realty of Greater Nassau,2,2,4000,https://ap.rdcpix.com/1505804330/3559a9bcf849eb83bcaa3354e361e0dcl-m0xd-w480_h480_q80.jpg
c755861a71de4d96a897aa55769e1a48,649000,USD,Radiant Estates Llc,3,,3800,https://ap.rdcpix.com/1424435051/996b4a9f49950463602ffce982eb36ddl-m0xd-w480_h480_q80.jpg
1e7d471ae6694c8ab97868063e7e245f,709000,USD,Century 21 Kafcos Realty,2,,5001,https://ap.rdcpix.com/1875811024/4fbf7da23a838fd2fd7b6977601d62cfl-m0xd-w480_h480_q80.jpg
e2a9d3b5aa4f475fa215c4a0dcfcd188,738000,USD,E Realty International Corp,3,,2200,https://ap.rdcpix.com/1291220297/2282f37d64d729dbe2e204cc2cb239bfl-m0xd-w480_h480_q80.jpg
623439773b004e809c539f3a89c782fb,3495000,USD,Corcoran Group - East Side,2,2,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
5415ca8631b44dc5b70c07b07da8618f,789000,USD,Brooklyns 4U Realty Llc,4,,2000,https://ap.rdcpix.com/782192639/805807286b4a2c98d9ca959e05ba0396l-m0xd-w480_h480_q80.jpg
6c147167c35a477fadbb4143457f2c37,1898000,USD,Toula Polios Realty Group Llc,5,,6000,https://ap.rdcpix.com/422006996/ea31d2299e9fe02aa6392988d79fe388l-m0xd-w480_h480_q80.jpg
6881faa548564c09ae6503c089e437a5,769000,USD,Vernazza Real Estate,2,2,6000,https://ap.rdcpix.com/1404371654/04e0ddfeeff722a3227c2cd83615973dl-m0xd-w480_h480_q80.jpg
d9714c2a7c214454b4a4fe8c8a2510f6,299000,USD,Property Solutions Group Llc,0,,,https://maps.googleapis.com/maps/api/streetview?channel=feps-streetview&client=gme-movesalesinc&size=640x480&location=130-11%20227th%20St%2C%20Jamaica%2C%20NY%2011413&signature=zN5srcEMX8Wtmm3AzMVO4wz2U5E=&metadata=_mzIJX1mHy3ttenr_Ahy91ouFZg=
4b21036e47974ee98b8259cb26e038d0,1225000,USD,Corcoran Group - West Side,1,1,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
a4c97a4c88e94a68891458c12bf88049,599000,USD,Corcoran Group - Park Slope,2,1,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
c5c7eb66b84845cdbb32cde5953f1787,,,,,,,
